name,gender,birthyear,n_raters,occupation,industry,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,likability,pred_likability
Magic Johnson,Male,1959,28,BASKETBALL PLAYER,TEAM SPORTS,6.178571428571429,2.607142857142857,5.892857142857143,2.4285714285714284,5.607142857142857,2.75,5.357142857142857,2.321428571428572,5.25,2.571428571428572,55.535714285714285,53.18319662145329
Jeff Hardy,Male,1977,11,WRESTLER,INDIVIDUAL SPORTS,5.636363636363637,4,4.818181818181818,3.090909090909091,5,2.727272727272727,4.363636363636363,4.636363636363637,3.5454545454545454,3.090909090909091,37.36363636363637,39.42598599602736
Jacqueline Kennedy Onassis,Female,1929,17,COMPANION,COMPANIONS,4.470588235294118,2.235294117647059,5.647058823529412,3.0588235294117645,5,5,5.470588235294118,2,5.823529411764706,3.294117647058824,67.41176470588235,48.45738081345365
Lyndon B. Johnson,Male,1908,25,POLITICIAN,GOVERNMENT,5.48,4.96,5.36,3.52,4.6,3.2,4.28,2.48,4.88,3.8,30.72,5.664819285317531
Ayn Rand,Female,1905,10,WRITER,LANGUAGE,3.7,5.2,6.4,3.5,5.3,4.4,3.6,2.4,5.1,2.5,19.6,14.61412350558671
Bear Grylls,Male,1974,18,PRESENTER,MEDIA PERSONALITY,5.888888888888889,2.7777777777777777,6.388888888888889,2,6.555555555555555,2.333333333333333,4.888888888888889,2,5.555555555555555,2.4444444444444446,37.833333333333336,20.314419402016313
Howard Hughes,Male,1905,15,BUSINESSPERSON,BUSINESS,3.466666666666667,4.866666666666666,4.533333333333333,5.266666666666667,4.4,4.666666666666667,2.7333333333333334,3.333333333333333,2.6,1.8,-2.333333333333333,28.16586038487896
Heidi Klum,Female,1973,22,MODEL,MEDIA PERSONALITY,5.818181818181818,3.363636363636364,5.7727272727272725,2.772727272727273,5.636363636363637,2.590909090909091,4.954545454545454,2.1818181818181817,4.954545454545454,2.6818181818181817,37.22727272727273,21.092523758304345
Pope John Paul II,Male,1920,13,RELIGIOUS FIGURE,RELIGION,4.307692307692308,1.8461538461538465,6.153846153846154,1.6153846153846154,4.153846153846154,5.307692307692308,6.307692307692308,1.6923076923076923,6.307692307692308,4.538461538461538,38.53846153846154,51.39894449503326
Ron Paul,Male,1935,14,POLITICIAN,GOVERNMENT,5.642857142857143,5.5,4.642857142857143,4.285714285714286,4.571428571428571,2.7857142857142856,3.642857142857143,3.571428571428572,4.357142857142857,3.857142857142857,8.214285714285714,12.793846231516422
Lance Armstrong,Male,1971,23,CYCLIST,INDIVIDUAL SPORTS,5.782608695652174,3.8260869565217392,4.652173913043479,3.260869565217391,5.217391304347826,3.0869565217391304,3.739130434782609,3.0434782608695654,4.173913043478261,3.130434782608696,-0.0434782608695652,17.196712251675514
Dr. Seuss,Male,1904,28,WRITER,LANGUAGE,5.035714285714286,3.142857142857143,5.428571428571429,3.0357142857142856,5.464285714285714,3.9642857142857135,5.142857142857143,2.321428571428572,4.535714285714286,1.5357142857142858,53.71428571428572,58.20312740722864
Chris Jericho,Male,1970,12,WRESTLER,INDIVIDUAL SPORTS,6.5,4.25,5.416666666666667,3.083333333333333,5.25,1.9166666666666667,4.166666666666667,3.4166666666666665,4.166666666666667,3.5,45.333333333333336,22.31143262234732
O. J. Simpson,Male,1947,30,AMERICAN FOOTBALL PLAYER,TEAM SPORTS,5.133333333333334,5.766666666666667,3.2,5.466666666666667,4.033333333333333,2.7333333333333334,2.1666666666666665,4.266666666666667,2.066666666666667,3.7,-65.3,-34.66085316334457
Gisele Bündchen,Female,1980,16,MODEL,MEDIA PERSONALITY,5.375,3.25,5.5,3,5.125,3.75,5,2.5,5.1875,3.25,34.25,64.15220333992599
Pablo Escobar,Male,1949,18,MAFIOSO,OUTLAWS,5.222222222222222,5.944444444444445,4.833333333333333,5,5,2.7222222222222223,2.111111111111111,2.7222222222222223,2.9444444444444446,2.611111111111111,-55.27777777777778,-39.43539857296007
Hillary Rodham Clinton,Female,1947,29,POLITICIAN,GOVERNMENT,5.344827586206897,5.172413793103448,5.586206896551724,3.586206896551724,4.344827586206897,2.6206896551724137,3.724137931034482,2.3448275862068964,4.620689655172414,4.275862068965517,3.310344827586207,-8.68128497955242
Gerald R. Ford,Male,1913,17,POLITICIAN,GOVERNMENT,4.117647058823529,4.176470588235294,5.823529411764706,2.5294117647058822,4.470588235294118,4.294117647058823,4.529411764705882,1.8823529411764703,5.176470588235294,4.411764705882353,27.88235294117647,46.60327461566618
